geoAreaCode	years	Freq	Units	sliceId	series.release	series.code	series.description	X	Y	OBJECTID	ISO3CD	geoAreaName	value	valueType	time_detail	source	Nature
4	1990	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	66.02688198	33.83160199	2	AFG	Afghanistan	1350	Float		FAO estimates	E
4	2000	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	66.02688198	33.83160199	2	AFG	Afghanistan	1350	Float		FAO estimates	E
4	2005	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	66.02688198	33.83160199	2	AFG	Afghanistan	1350	Float		FAO estimates	E
4	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	66.02688198	33.83160199	2	AFG	Afghanistan	1350	Float		FAO estimates	E
4	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	66.02688198	33.83160199	2	AFG	Afghanistan	1350	Float		FAO estimates	E
8	1990	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	20.06660928	41.13897007	6	ALB	Albania	788.8	Float		FAO estimates	E
8	2000	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	20.06660928	41.13897007	6	ALB	Albania	769.3	Float		FAO estimates	E
8	2005	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	20.06660928	41.13897007	6	ALB	Albania	782.4	Float		FAO estimates	E
8	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	20.06660928	41.13897007	6	ALB	Albania	776.3	Float		FAO estimates	E
8	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	20.06660928	41.13897007	6	ALB	Albania	771.5	Float		FAO estimates	E
10	1990	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2000	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2005	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2010	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	21.47585697	-80.40897662	13	ATA	Antarctica					
10	2015	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	21.47585697	-80.40897662	13	ATA	Antarctica					
12	1990	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	2.678164227	28.15940032	66	DZA	Algeria	1667	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
12	2000	ANNUAL	HECTARES	1	2017.Q2.G.01	AG_LND_FRSTN	Forest area as a proportion of total land area	2.678164227	28.15940032	66	DZA	Algeria	1579	Float		Official submission of country data to FAO Global Forest Resources Assessment	C
